Card_Type_Code,Card_Type_Full_Name,Issuing_Bank,Card_Number,Card_Holders_Name,CVV_CVV2,Issue_Date,Expiry_Date,Billing_Date,Card_PIN,Credit_Limit
HC,Hipercard,Wells Fargo,6375689338556065,Lorenz Johnston,148,09/2017,11/2020,22,2923,221074
VI,Visa,Chase,6376123810721756,Zane Kerluke,964,06/2020,03/2025,2,4098,226067
UP,UnionPay,Bank of America,5089994398070679,Tommie Hegmann,819,09/2014,03/2019,27,6926,21118
EO,Elo,U.S. Bancorp,59064454833647,Myrtie Flatley,387,11/2008,03/2012,4,1871,526430
DS,Discover,Discover,5066982906710143914,Orin Goodwin,387,03/2011,08/2015,1,2776,233844
AX,American Express,American Express,373284018307438,Emmalee Krajcik,394,07/2015,10/2018,5,6811,166739
VI,Visa,Capital One,6370950829135289,Juana Shields,399,07/2013,06/2018,4,3056,545767
UP,UnionPay,Chase,341387477281405,Tara Kuhlman,344,02/2011,06/2014,20,4950,836157
MC,Mastercard,U.S. Bancorp,342221163344434,Dana Kertzmann,124,10/2011,05/2016,25,9623,361384
AX,American Express,American Express,358903491181509259,Lorna Rippin,282,06/2013,09/2016,3,2684,571043
HC,Hipercard,U.S. Bancorp,3934855916785738,Palma Leuschke,138,09/2009,04/2014,7,9009,511320
MC,Mastercard,Barclays,4100121866231355,Hipolito Runolfsdottir,5630,12/2005,06/2010,21,4568,568126
JC,JCB,Japan Credit Bureau,6448507615137649917,Kianna McGlynn,310,12/2002,07/2007,10,5445,296670
HC,Hipercard,U.S. Bancorp,2236019358637421,Kelli Herman,310,08/2015,03/2019,25,5019,174480
AX,American Express,American Express,5123108923863130,Fernando Effertz,878,06/2007,07/2010,9,9587,701399
EO,Elo,Barclays,4258704263943415,Palma Bartoletti,941,02/2020,01/2024,8,8986,15644
DS,Discover,Discover,6062827670081924,Carrie Welch,230,05/2009,08/2012,4,1194,650827
HR,Hiper,Bank of America,3589568364946501270,Jamison Predovic,521,12/2013,08/2018,27,2800,70611
HC,Hipercard,U.S. Bancorp,2235444150708223,Jaclyn Heller,955,05/2006,06/2010,11,6228,830091
HR,Hiper,Chase,6447703598730908,Taryn Herman,351,02/2002,11/2005,2,9422,820598
HC,Hipercard,Barclays,6497655204569287,Mohamed Ward,625,09/2009,01/2013,7,8703,723667
MT,Maestro,Chase,6062826099082604,Frances Heathcote,992,10/2010,01/2014,12,8589,537693
AX,American Express,American Express,6375991478848249,Nathanial Price,638,04/2006,07/2010,18,5301,470201
EO,Elo,Chase,379782982540870,Onie Hammes,158,07/2008,12/2012,13,7316,801369
UP,UnionPay,Bank of America,373404383609776,Jenifer Farrell,585,12/2008,06/2012,10,9082,984070
HR,Hiper,Bank of America,62916777677289,Maximilian Cummerata,520,11/2003,03/2008,17,7592,647880
HR,Hiper,Capital One,6376091736021660,Edyth Gottlieb,166,04/2015,12/2018,21,7200,981965
VI,Visa,Chase,3009643515359331,Janis McDermott,293,10/2003,09/2008,26,6454,467491
MC,Mastercard,Wells Fargo,2710823414037582,Ally Volkman,904,10/2017,05/2021,4,8624,259186
HR,Hiper,Capital One,2237181536263980,Jessyca Funk,363,11/2013,11/2016,3,3947,732058
UP,UnionPay,Barclays,6062829059466007,Dillan Rolfson,330,08/2006,07/2010,12,3959,361960
HC,Hipercard,GE Capital,2303282592973303,Ahmed Olson,304,01/2015,10/2019,19,4007,20533
HC,Hipercard,Bank of America,3609757506801235165,Kory Johns,514,10/2017,04/2021,11,2653,356255
HC,Hipercard,Wells Fargo,6550218259323698,Richmond Auer,670,02/2019,07/2023,8,4968,771131
AX,American Express,American Express,352862629248441915,Larry Weber,367,10/2018,07/2022,5,6105,50972
MT,Maestro,Wells Fargo,3056370016464223707,Valentine Mante,672,07/2003,08/2007,6,5863,279691
HR,Hiper,Capital One,3967999944782075,Deshawn Howe,359,11/2008,04/2012,27,5092,359825
MC,Mastercard,Capital One,6375995173639068,Yesenia Kassulke,141,01/2005,11/2009,17,7156,906497
UP,UnionPay,Capital One,379945683475049,Amina Walker,778,04/2013,07/2016,27,9976,67162
UP,UnionPay,Wells Fargo,6375688002847099,Nora Rutherford,377,10/2004,10/2008,2,3798,948661
HC,Hipercard,Wells Fargo,6376123647032252,Rocio Gislason,137,01/2004,06/2007,27,8273,514963
MT,Maestro,Barclays,6375688630566129,Marge Prosacco,666,09/2018,02/2022,22,7444,884396
JC,JCB,Japan Credit Bureau,6289272036587132240,Idella Pagac,753,08/2003,10/2007,22,7725,134742
UP,UnionPay,Wells Fargo,3965979090683004278,Shawna Hoppe,433,03/2009,05/2012,6,3349,688364
EO,Elo,Capital One,3991995191986073212,Addie Gottlieb,600,11/2013,12/2017,10,2870,90036
EO,Elo,GE Capital,21318787942566832,Matt Parker,881,03/2014,03/2017,22,3979,918962
VI,Visa,Capital One,6291556965620091042,Ubaldo Oberbrunner,939,04/2002,10/2005,11,9931,525289
JC,JCB,Japan Credit Bureau,6441301999662200095,Enoch Brekke,966,03/2011,11/2015,22,7432,834708
MC,Mastercard,Barclays,3050670802572529394,Scarlett Keeling,2486,05/2012,08/2015,6,3651,656078
UP,UnionPay,U.S. Bancorp,6492390484544298,Libbie Pollich,472,03/2007,09/2011,10,5736,562164
UP,UnionPay,GE Capital,6570937265302911550,Eunice Metz,290,09/2007,03/2011,21,6470,180140
HR,Hiper,Barclays,564810684700676568,Garrison Padberg,937,05/2012,02/2017,16,1776,185841
EO,Elo,Chase,6500357278217845,Joaquin Cassin,432,05/2006,01/2010,20,7093,451863
EO,Elo,Capital One,358995916895541650,Angus Gibson,435,07/2017,12/2021,23,9451,874724
HC,Hipercard,U.S. Bancorp,3589275611373605584,Demarco Smith,805,07/2016,05/2020,22,6112,25961
VI,Visa,Capital One,6011147731729961,Shannon Ruecker,578,08/2020,04/2025,19,7357,696221
DS,Discover,Discover,5089991078179,Ofelia Fisher,596,10/2018,03/2022,26,6138,530410
EO,Elo,U.S. Bancorp,6536226828587965,Thelma Schuppe,243,08/2013,07/2018,14,9752,848796
HC,Hipercard,Chase,621841229239593958,Krystel Toy,808,07/2001,08/2005,11,5206,627905
AX,American Express,American Express,3007301360131797884,Leonard Conn,441,01/2006,10/2010,4,7809,50514
HR,Hiper,Barclays,62767077749703857,Allen Harber,475,11/2005,10/2010,23,1391,295712
JC,JCB,Japan Credit Bureau,3002198553659008,Eusebio Stehr,799,06/2001,02/2006,8,8070,961290
HC,Hipercard,Chase,6062823469557398,Myrtle Muller,917,06/2003,03/2008,2,3111,992041
JC,JCB,Japan Credit Bureau,629206347568957065,Kristian Stoltenberg,796,11/2016,07/2021,8,7583,706885
DC,Diners Club,Diners Club International,622999416543685,Oren Hoeger,973,09/2002,09/2005,22,3323,614175
MC,Mastercard,Barclays,4936981157261603163,Jessie Renner,420,11/2003,09/2007,2,5177,784690
DS,Discover,Discover,4901279127820019,Otho Blanda,9898,12/2006,11/2011,15,3279,414065
DS,Discover,Discover,6586339482836924310,Keegan Moen,594,07/2020,04/2024,2,1371,979652
EO,Elo,Wells Fargo,677970464728,Ashly Douglas,836,04/2014,05/2018,17,1937,931892
VI,Visa,Barclays,3853199336256294,Johann Reynolds,819,03/2003,12/2007,15,8117,672118
MC,Mastercard,Wells Fargo,5090001014022329,Leonora Cummerata,410,12/2001,05/2005,16,2999,93916
AX,American Express,American Express,344732637327019,Tamia Morissette,228,11/2004,11/2009,24,4604,720045
EO,Elo,GE Capital,6442742974197310037,Alison Smith,837,05/2020,05/2024,11,9251,191715
MT,Maestro,Capital One,506698945447,Jacey Stamm,300,12/2013,07/2018,8,2767,188783
JC,JCB,Japan Credit Bureau,2131083236683274543,Howard Legros,147,06/2012,01/2016,5,8278,877640
AX,American Express,American Express,4987221903070960,Elbert Braun,138,08/2000,05/2004,1,7660,77233
JC,JCB,Japan Credit Bureau,6500333083238045,Dorris Crist,329,12/2015,01/2020,21,4373,777983
AX,American Express,American Express,3055680668121855,Tianna Kerluke,7338,02/2000,05/2004,19,5794,120843
HC,Hipercard,Barclays,343560608495692,Giovani Moore,196,02/2014,10/2017,17,9524,579465
EO,Elo,Chase,341584899144878,Renee Jacobs,911,01/2011,05/2015,24,9453,667859
HR,Hiper,Chase,6370958745597540,Bertrand Ebert,475,12/2002,03/2006,26,1188,314839
HC,Hipercard,Capital One,6229259085720855772,Jaida Considine,819,03/2004,04/2007,26,2877,893827
HC,Hipercard,Barclays,6505416759919876,Ruthe Rosenbaum,1592,05/2004,05/2009,18,3027,436067
JC,JCB,Japan Credit Bureau,6062822328791255,Porter Wisoky,293,06/2014,06/2018,8,4983,583620
AX,American Express,American Express,18007348608244289,Fannie Zboncak,538,01/2005,10/2009,9,1332,319305
MT,Maestro,Capital One,1800745705380916417,Kylee Dickens,733,04/2005,01/2010,18,2642,48096
HC,Hipercard,GE Capital,622018951018087978,Boyd Nienow,335,01/2017,12/2021,22,2774,946787
VI,Visa,Barclays,5174266746152095,Gerardo Deckow,539,07/2003,12/2007,16,3649,449081
DC,Diners Club,Diners Club International,6062822540986618,Grayce Runolfsdottir,144,01/2013,08/2017,21,2755,209175
AX,American Express,American Express,62187550639835,Lydia Upton,371,03/2007,06/2010,23,9447,13366
MT,Maestro,Wells Fargo,2131826279563143257,Mireya Schimmel,340,09/2018,05/2023,6,5719,622345
MT,Maestro,Barclays,2131030223519757,Eldon Bergnaum,382,09/2019,01/2023,10,1881,454485
MT,Maestro,Chase,4117014711890999,Ines Pouros,393,12/2007,10/2012,12,7792,572124
DC,Diners Club,Diners Club International,6504851992524813,Christelle Grimes,687,02/2018,02/2023,2,2558,69497
UP,UnionPay,Wells Fargo,6376093493227142,Ebba Wilderman,865,07/2017,02/2021,4,3201,796513
VI,Visa,Bank of America,30569307855625,Gunnar Murazik,419,08/2013,11/2016,12,8280,123085
VI,Visa,U.S. Bancorp,5658675688402,Cheyanne Feil,668,06/2003,03/2007,7,6446,140717
HR,Hiper,Wells Fargo,4662656658841598,Lance Wilderman,672,02/2010,03/2014,20,4107,995330
HC,Hipercard,Barclays,6555330454612380,Lavon Hartmann,612,03/2013,09/2016,27,7160,371161
EO,Elo,Barclays,372665813312428,Mathew Lindgren,3642,04/2000,05/2004,16,6752,360784
HR,Hiper,Capital One,344444392272923,Myah Will,181,05/2000,09/2003,22,5447,781023
EO,Elo,Bank of America,5557679899066523,Theodore Harber,167,05/2012,05/2016,18,7732,163045
EO,Elo,Capital One,2292819588103578,Nella Ward,8019,10/2000,03/2005,9,1737,908543
AX,American Express,American Express,6376125993791183,Kade Bahringer,116,05/2019,05/2024,5,9369,188634
MC,Mastercard,Barclays,4756017541875748,Yoshiko Grant,322,04/2000,06/2004,12,2417,787892
VI,Visa,Bank of America,6277792167951990,Theron Howe,590,03/2013,01/2017,5,8154,761220
EO,Elo,Bank of America,4815994220832688,Elyssa Price,343,03/2002,10/2005,5,1436,383206
DS,Discover,Discover,62201988709251709,Zaria Kutch,276,11/2009,03/2014,11,3518,105815
HR,Hiper,Bank of America,6062821684788608,Jane Deckow,821,06/2011,11/2015,9,7928,959189
DC,Diners Club,Diners Club International,3645461393239479,Camille Ziemann,643,10/2006,06/2010,11,6867,195518
DC,Diners Club,Diners Club International,6375687079765838,Americo Metz,361,01/2018,06/2022,19,2333,55208
VI,Visa,Barclays,6062829332374994,Electa Reinger,832,11/2013,04/2018,16,2751,413384
JC,JCB,Japan Credit Bureau,5090009532027571,Lindsey Mohr,8756,12/2014,04/2019,12,9897,885576
MC,Mastercard,Barclays,3009127329868771725,Constantin McLaughlin,2077,08/2013,06/2017,2,3557,91239
EO,Elo,Wells Fargo,627700911613469,Marcelina Connelly,609,02/2013,11/2016,1,2473,673602
HC,Hipercard,GE Capital,30099531129258,Barton Schultz,285,06/2000,05/2004,21,3679,519561
HR,Hiper,Bank of America,4678739127645816,Melyna Turner,930,09/2009,01/2014,9,6430,540812
UP,UnionPay,Bank of America,3005165918561028,Clinton Trantow,555,10/2010,01/2015,20,1738,678594
VI,Visa,Chase,2131797481479326,Khalil Runte,572,07/2016,03/2021,3,2241,992318
DC,Diners Club,Diners Club International,375897876177193,Prince Turcotte,191,01/2013,06/2016,8,3451,959824
MC,Mastercard,U.S. Bancorp,3666283226076629,Estevan Jewess,757,01/2004,02/2008,16,6526,516601
EO,Elo,Chase,347891466452046,Elwyn Effertz,746,09/2002,10/2005,19,8249,142973
MC,Mastercard,Barclays,622019835967751,Nadia Hilpert,532,10/2013,05/2017,2,8681,317276
MC,Mastercard,Wells Fargo,4489448925165238,Alexzander Franecki,234,09/2017,04/2022,24,7414,502396
MT,Maestro,Bank of America,6062824423159289,Willard Rutherford,146,10/2000,04/2004,25,9845,216344
HC,Hipercard,Wells Fargo,6550211829377443,Anjali Frami,769,05/2004,10/2007,14,4750,846519
AX,American Express,American Express,4742983643619358,Monique Dietrich,302,08/2005,09/2009,3,8598,341478
HR,Hiper,U.S. Bancorp,6062821280046252,Perry Rippin,578,07/2015,10/2019,16,7298,375121
EO,Elo,Bank of America,38705295428262,Frankie Conroy,830,08/2009,03/2013,15,8812,775560
UP,UnionPay,Wells Fargo,352894274375956773,Kristina Mills,172,02/2008,09/2012,17,5038,221095
AX,American Express,American Express,35280386835758673,Rosendo Ritchie,621,01/2018,07/2022,16,5824,740174
EO,Elo,Chase,3006387519776578,Maximillia Stokes,201,04/2016,12/2019,8,7043,61820
HC,Hipercard,U.S. Bancorp,3651752631405448,Peter Medhurst,314,07/2008,06/2012,1,3495,316679
AX,American Express,American Express,6291245312266791428,Milan Swaniawski,551,02/2006,06/2009,22,3152,522312
DC,Diners Club,Diners Club International,6062826711307934,Billy Gaylord,901,02/2019,10/2022,16,4607,335374
EO,Elo,Capital One,358938059780459223,Daisy Cremin,777,06/2015,09/2018,9,6229,742482
HR,Hiper,Capital One,21319513692310414,Kasey Huels,762,05/2019,04/2024,17,3944,28553
HC,Hipercard,U.S. Bancorp,6220528802323054759,Seth Hettinger,230,10/2013,04/2018,8,1055,92534
UP,UnionPay,Capital One,6505987024055548,Nat Ebert,325,05/2005,08/2009,18,7780,44050
JC,JCB,Japan Credit Bureau,4447434871356766,Amir Deckow,183,04/2009,05/2013,2,5502,634877
DC,Diners Club,Diners Club International,6277000037778951,Makenzie Abbott,559,09/2019,04/2024,18,7835,692266
MT,Maestro,GE Capital,4389353572603013,Shyann Gleason,765,04/2014,03/2019,7,1812,631482
DC,Diners Club,Diners Club International,561953338220271,Geovany Mayert,355,10/2001,01/2005,12,7468,66211
MT,Maestro,GE Capital,6062825536008990,Martin Kutch,809,04/2016,12/2020,9,4218,928477
HC,Hipercard,Barclays,6062824866241081,Paxton Gusikowski,489,08/2001,11/2004,12,7210,964926
DC,Diners Club,Diners Club International,3802424227767445,Eulah Dare,597,06/2018,11/2021,4,3872,239573
AX,American Express,American Express,6218287210327719556,Hillary Beer,196,01/2005,11/2009,13,6210,468814
MT,Maestro,U.S. Bancorp,6440378881254637068,Roman Ratke,200,02/2016,02/2020,22,5310,295579
UP,UnionPay,Wells Fargo,6062827683463622,Brandon Champlin,325,10/2006,11/2010,15,9630,235194
MC,Mastercard,Chase,371187954935488,Muhammad Rohan,725,08/2019,04/2023,4,4682,278808
UP,UnionPay,Barclays,2394252228364334,Nadia Sanford,609,01/2007,02/2010,12,9757,217735
MC,Mastercard,Wells Fargo,6516792596221008,Brandon Cronin,450,02/2014,03/2018,18,2728,107134
HC,Hipercard,Barclays,6375997383442218,Juana Predovic,6488,11/2013,12/2016,14,2185,825662
EO,Elo,Wells Fargo,6505388996326357,Noble Feest,118,10/2005,09/2009,1,5517,865112
EO,Elo,Bank of America,6376129144660669,Kaya Borer,5788,08/2001,03/2006,14,9050,821702
MT,Maestro,GE Capital,3658908032500268659,Lucius Quitzon,263,11/2014,11/2018,16,5209,171370
DC,Diners Club,Diners Club International,2391760538269699,Gladyce Lemke,808,12/2020,07/2024,10,6523,979263
AX,American Express,American Express,18003215260966109,Lane Gibson,920,10/2019,04/2024,13,7433,754207
HC,Hipercard,U.S. Bancorp,6362971565480739,Joan Gusikowski,129,03/2002,03/2006,19,8090,120693
EO,Elo,Barclays,6664618656836,Perry Stanton,961,04/2015,04/2019,10,2773,388081
HR,Hiper,Capital One,3528320151414634171,Victoria Adams,2483,05/2013,12/2017,17,3957,615153
AX,American Express,American Express,6363687338053277,Dariana Boyer,326,07/2003,09/2006,25,8221,897458
MC,Mastercard,Barclays,6062820575306231,Christop Mayert,973,09/2008,01/2012,2,1063,617390
DS,Discover,Discover,59832198509521300,Brendan Crooks,331,12/2013,01/2018,6,8057,290855
AX,American Express,American Express,6505411074978780,Ida Wuckert,887,05/2014,12/2018,23,3250,524672
VI,Visa,Barclays,2311117545343370,Ova Wunsch,757,01/2016,08/2020,27,4737,393904
HC,Hipercard,U.S. Bancorp,3589585069740960,Juwan Bins,432,06/2018,04/2023,13,5677,132273
UP,UnionPay,Chase,3004357340939531,Scot Bayer,985,05/2015,04/2020,16,9085,253351
VI,Visa,Capital One,627779097729760,Nicole Schmeler,832,06/2013,02/2018,19,9159,509356
MC,Mastercard,Chase,6370951067506272,Deon Halvorson,960,03/2004,04/2008,9,7987,510861
JC,JCB,Japan Credit Bureau,3589834523113939,Esperanza Huels,814,08/2005,12/2009,19,2017,724381
MT,Maestro,Bank of America,50000015146754877,Dakota Kling,942,11/2013,02/2017,4,9956,858851
JC,JCB,Japan Credit Bureau,2221631072406490,Rebeca Ortiz,647,12/2011,03/2016,6,5170,228049
HR,Hiper,Barclays,345302483101436,Gaylord Osinski,865,05/2004,09/2008,13,6738,322803
JC,JCB,Japan Credit Bureau,62720442334298273,Monique Hessel,855,10/2009,09/2013,3,6692,210958
AX,American Express,American Express,6220188497754725,Jedidiah Ferry,169,12/2010,02/2014,27,3142,853192
EO,Elo,GE Capital,4312745629836987,Rosemarie Marvin,466,09/2002,04/2006,4,5735,911513
AX,American Express,American Express,5183348314667628,Idella Bode,423,11/2016,05/2020,23,8948,157207
HR,Hiper,Barclays,4422143825228539,Jaylan Ziemann,755,01/2015,02/2019,17,3912,568910
MT,Maestro,Barclays,2229138036714623,Weston Leannon,659,03/2013,08/2016,23,8586,270749
DC,Diners Club,Diners Club International,5067785585656593,Candice Cole,424,03/2020,11/2023,27,8469,261904
DC,Diners Club,Diners Club International,500000552165,Russ Hand,273,05/2002,12/2006,17,3288,815271
AX,American Express,American Express,4987374487421438,Alanna Renner,900,04/2011,03/2016,4,9425,35806
MC,Mastercard,GE Capital,622053683330944117,Iva Torphy,205,10/2004,07/2008,21,9106,461402
DC,Diners Club,Diners Club International,5996449620008304,Bulah Waelchi,629,07/2009,04/2013,6,3183,724098
DS,Discover,Discover,372789592496481,Brandt Nolan,554,08/2014,06/2019,19,5469,322023
HC,Hipercard,GE Capital,508999311778443,Ruthe Crooks,115,02/2017,05/2020,4,4859,543823
MT,Maestro,Bank of America,6229998948158578719,Deon Upton,760,11/2013,05/2017,13,4590,522076
JC,JCB,Japan Credit Bureau,352859924682539943,Murl Braun,372,01/2016,10/2020,12,8925,20615
MT,Maestro,Wells Fargo,4595333825009788,Evan Veum,238,07/2020,03/2024,11,6506,551911
MT,Maestro,Bank of America,343288813696488,Lulu Herman,496,09/2001,10/2004,3,8482,161252
DC,Diners Club,Diners Club International,5140977035320604,Chase Hane,944,10/2000,03/2005,5,3384,824750
UP,UnionPay,Chase,30518575445098,Reymundo Cartwright,197,06/2014,12/2018,21,3469,961147
HR,Hiper,Barclays,6062822246082639,Norwood Rohan,689,09/2008,12/2012,22,3638,801901
HR,Hiper,U.S. Bancorp,344727769209183,Ebba Lind,752,01/2012,06/2016,11,7272,84489
UP,UnionPay,GE Capital,6376123322780449,Patience Ratke,414,04/2010,04/2013,1,7137,319682
MT,Maestro,U.S. Bancorp,3000554263139339,Sheila Kutch,198,07/2015,04/2019,17,7984,427620
UP,UnionPay,Chase,569939280264684778,Kaley Upton,539,02/2017,05/2020,23,6180,958342
JC,JCB,Japan Credit Bureau,6545447964711385241,Thelma Torp,613,01/2009,07/2013,11,2563,261778
DS,Discover,Discover,6500515894336808,Nicholas Runolfsson,340,06/2005,11/2008,20,5633,864222
UP,UnionPay,Wells Fargo,5090006562941416,Wiley Littel,674,11/2011,11/2016,9,8605,97469
UP,UnionPay,Barclays,6551457417742832,Bo Jacobi,621,09/2008,05/2012,16,3321,741589
VI,Visa,Bank of America,622010761415618,Jaylan Jacobs,738,06/2001,07/2005,7,2035,276701
HR,Hiper,Capital One,370575933289491,Anita Funk,467,06/2006,11/2010,10,7948,567546
HC,Hipercard,U.S. Bancorp,4949862514272110,Mabelle Strosin,704,12/2020,09/2024,1,2145,680883
AX,American Express,American Express,4000221058054507,Matt Okuneva,122,02/2015,07/2018,20,7352,501260
DC,Diners Club,Diners Club International,6062829050112188,Loren Runte,925,05/2000,10/2003,23,8225,77504
DC,Diners Club,Diners Club International,6375686827348822,Jonathan Wiza,4485,02/2005,08/2009,11,3574,513606
AX,American Express,American Express,35891644221035770,Selena Crist,1493,04/2014,04/2018,7,6315,926729
MT,Maestro,Wells Fargo,6375997435614996,Duane Rogahn,192,09/2003,04/2008,21,2379,448874
HC,Hipercard,GE Capital,6376124543777073,Adaline Gorczany,325,11/2016,04/2020,25,6328,158550
DC,Diners Club,Diners Club International,2301329075707989,Bret Breitenberg,492,06/2008,03/2012,9,7468,181868
JC,JCB,Japan Credit Bureau,379269842655171,Creola Lind,133,07/2006,03/2010,7,5589,611427
HR,Hiper,Chase,4281214166661859,Aniyah Fahey,541,07/2000,03/2005,14,6480,158435
UP,UnionPay,Chase,6011533624922499508,Vida Bernhard,651,11/2005,10/2010,16,8627,120981
EO,Elo,Wells Fargo,811045165876206,Bennie Hettinger,566,01/2019,03/2022,23,1621,433899
AX,American Express,American Express,6375991575703081,Tyson Jakubowski,199,06/2016,02/2021,1,5663,191537
DC,Diners Club,Diners Club International,6376093889785398,Jovan Morissette,803,04/2014,07/2017,6,6248,603367
DS,Discover,Discover,506698958309,Stacey Blick,8843,03/2008,01/2013,19,2162,425897
UP,UnionPay,GE Capital,6545839113136769987,Karolann Steuber,394,01/2008,03/2011,6,6653,408953
EO,Elo,GE Capital,4481987268938089,Rigoberto Schuppe,842,06/2004,01/2009,6,8927,697833
EO,Elo,Barclays,6062828974198166,Alejandra Pacocha,511,12/2007,12/2011,18,6860,371227
HR,Hiper,Barclays,62653300917789,Sasha Treutel,168,06/2020,03/2025,25,5102,367529
HR,Hiper,Capital One,3528174133633438,Solon Borer,955,01/2011,12/2015,27,9437,594701
MC,Mastercard,GE Capital,372095817527559,Bernhard Baumbach,8092,02/2005,01/2010,1,5156,677726
HC,Hipercard,GE Capital,2238043677218331,Madie Lockman,164,06/2000,06/2004,3,6634,744497
MT,Maestro,Wells Fargo,4563323843125177,Marilyne Douglas,312,09/2015,07/2019,10,5816,151680
MT,Maestro,Chase,375681499424376,Dayne Glover,270,06/2018,07/2021,11,3766,569649
JC,JCB,Japan Credit Bureau,4786572716157268,Cole Hartmann,251,12/2014,08/2018,1,5768,434369
UP,UnionPay,Capital One,493698595581975490,Arden Orn,894,06/2002,08/2005,6,4866,200221
AX,American Express,American Express,6062824613440150,Savanna Kiehn,451,06/2002,11/2006,21,5614,743542
VI,Visa,Chase,59749577688020709,Jason Hirthe,560,05/2012,12/2015,17,6353,477003
EO,Elo,Bank of America,6011014214980158,Paris Dickinson,574,11/2010,04/2015,3,2353,359292
EO,Elo,Capital One,4896581901803310,Ryley Ratke,717,07/2013,02/2017,2,8270,413833
DS,Discover,Discover,4147138656089533,Karson Parisian,333,04/2001,02/2005,5,5809,834263
UP,UnionPay,Bank of America,4238485251191556,Akeem Wisoky,646,12/2002,08/2006,7,2946,224413
EO,Elo,GE Capital,6220193440855629,Tavares Schimmel,892,07/2001,05/2005,13,5173,824092
EO,Elo,U.S. Bancorp,6062822386137284,Jeffry Breitenberg,806,04/2012,01/2016,26,8100,239915
UP,UnionPay,Wells Fargo,38628130052099,Kane Weissnat,741,02/2015,11/2019,6,8727,53931
VI,Visa,U.S. Bancorp,5518629360665566,Camylle Tremblay,118,03/2006,03/2011,21,9857,526536
UP,UnionPay,GE Capital,50677913739078,Dolores Thompson,108,11/2011,03/2016,25,2435,331128
HC,Hipercard,Chase,6062828277391690,Reba Robel,524,05/2017,02/2022,5,8470,717762
EO,Elo,GE Capital,4400738460424503,Eddie Lowe,232,05/2008,03/2013,13,7772,27612
HC,Hipercard,U.S. Bancorp,6011213988227412,Consuelo Boyer,912,08/2003,02/2007,2,3837,338937
AX,American Express,American Express,5067797679706909118,Lera Collier,989,03/2009,09/2013,16,7073,334368
HR,Hiper,Bank of America,30022259798187,Tiffany Fisher,443,07/2006,08/2009,17,9034,70831
HC,Hipercard,Barclays,6376098169469688,Clementine Orn,981,06/2020,09/2023,22,1246,98178
MC,Mastercard,Chase,6490308550952268613,Gay Ankunding,901,06/2008,12/2012,26,1229,134135
AX,American Express,American Express,2708425023168313,Cheyenne Schumm,513,11/2019,01/2024,13,2891,634011
MT,Maestro,Bank of America,8108858675864651,Kaylin Nader,600,11/2013,11/2016,10,4852,172775
UP,UnionPay,Barclays,508999668469802,Alayna Jacobson,114,09/2001,07/2006,17,9601,121558
VI,Visa,Chase,63373404969318,Maria Gibson,131,01/2012,03/2016,19,8536,943669
HR,Hiper,Bank of America,5650881702990636120,Jalen Blanda,152,12/2011,06/2016,10,1316,108239
UP,UnionPay,Bank of America,375295492683993,Camren Kessler,303,07/2015,01/2020,6,2020,839532
UP,UnionPay,GE Capital,6376125681710404,Susanna Schuster,501,04/2012,12/2016,8,4680,605175
VI,Visa,Wells Fargo,3050485416272437538,Brook Purdy,292,02/2020,09/2023,17,7891,460339
HC,Hipercard,U.S. Bancorp,6500357342843964,Rhiannon Kohler,118,05/2018,02/2022,11,6875,352025
DS,Discover,Discover,4428611487742298,Mariano Schinner,487,06/2009,12/2012,5,2495,787508
AX,American Express,American Express,4312742580423947,Maye Grant,232,04/2018,12/2021,24,1359,753777
VI,Visa,GE Capital,2229030237321300,Wiley Durgan,868,03/2001,04/2004,15,1859,123763
VI,Visa,Wells Fargo,6442477302092781,Reyna VonRueden,940,11/2004,12/2007,3,8722,993630
HC,Hipercard,Chase,62637779100292242,Elinore Wehner,262,02/2001,11/2004,22,8218,794521
MC,Mastercard,Bank of America,3852913345725424515,Dina Auer,751,06/2006,11/2010,18,1691,94158
HC,Hipercard,Capital One,371918434448688,Karl Boyle,546,10/2012,09/2016,24,7616,495085
MT,Maestro,Chase,6376124519065479,Dave Hilpert,859,05/2020,10/2023,16,7476,508942
DS,Discover,Discover,2229793196972609,Christiana Champlin,957,04/2012,09/2015,27,2083,5521
VI,Visa,Capital One,595890172385622,Vivianne Sanford,597,12/2009,08/2013,27,8569,438780
MC,Mastercard,Wells Fargo,4309385776499399,Maximus Marquardt,420,10/2004,07/2008,14,3662,612464
UP,UnionPay,Bank of America,378762347570375,Sophie Bednar,1424,07/2008,03/2012,2,9690,774279
VI,Visa,Wells Fargo,6389905263050,Kelley Lesch,673,12/2008,02/2013,27,7767,108262
EO,Elo,U.S. Bancorp,67567570051770879,Earlene Bruen,326,10/2008,03/2013,27,2345,411010
HR,Hiper,Capital One,6011639235050955964,Verner McGlynn,483,04/2000,05/2004,3,3467,777137
JC,JCB,Japan Credit Bureau,6505419237361018,Sadye McKenzie,528,05/2018,06/2021,4,2663,448950
VI,Visa,Barclays,2221407276631138,Alfonso Casper,4108,01/2014,04/2017,9,7616,239493
DC,Diners Club,Diners Club International,180032977627676548,Crystel Mayer,771,07/2016,02/2021,6,2736,448191
MC,Mastercard,U.S. Bancorp,628214159579357,Orpha Glover,825,06/2005,07/2008,25,2768,761873
HC,Hipercard,Barclays,2372556713784798,Ruth King,934,05/2015,07/2019,10,7215,461026
